chr,loc,cms_score,gene_name
6,158197415,18.8199,SNX9
4,2475109,18.7769,"CFAP99,FAM193A,RNF4,ZFYVE28"
1,110426252,18.7436,CSF1
1,167473425,18.6737,"CD247,CREG1,POU2F1"
10,27620469,18.5145,"ACBD5,ARMC4P1,LRRC37A6P,PTCHD3"
1,167103945,18.5041,"DUSP27,GPA33,LINC01363,POU2F1"
12,9462984,18.2941,"A2MP1,LINC00987,LINC02367,LOC101928030,LOC642846,LOC728715,MIR1244-1,MIR1244-2,MIR1244-3,MIR1244-4"
18,22170149,18.2509,LINC01915
14,25017635,18.0335,"CMA1,CTSG,GZMB,GZMH,LOC101927045"
2,161135991,17.9315,"ITGB6,LINC02478,RBMS1"
4,166659698,17.892,"LINC01179,LOC101928131"
12,114241124,17.8291,"LINC01234,RBM19"
14,35775561,17.7992,"KIAA0391,NFKBIA,PSMA6"
11,118765688,17.7678,"BCL9L,CXCR5,FOXR1,MIR4492,UPK2"
1,16739907,17.6607,"CROCCP3,FBXO42,LINC01772,NECAP2,SPATA21,SZRD1"
16,11449862,17.6402,"LOC105371083,PRM1,PRM2,PRM3,RMI2,SOCS1,TNP2"
12,47970908,17.6151,RPAP3
12,108739318,17.6139,"CMKLR1,WSCD2"
14,97529074,17.5619,LINC02304
14,24943431,17.5597,"CBLN3,CMA1,CTSG,KHNYN,LOC101927045,NFATC4,NYNRIN,SDR39U1"
16,11003101,17.3161,"CIITA,CLEC16A,DEXI,TVP23A"
3,70179120,17.2701,MDFIC2
15,66410651,17.2501,"MEGF11,MIR4311"
1,170916068,17.1875,MROH9
20,41027721,17.1105,PTPRT
17,12363103,17.1036,LINC00670
7,100805508,16.949,"AP1S1,CLDN15,FIS1,MIR4653,MOGAT3,NAT16,PLOD3,SERPINE1,TRIM56,VGF,ZNHIT1"
12,66572219,16.9337,"IRAK3,LLPH,LLPH-DT,MIR6502,TMBIM4"
3,24281453,16.9326,"LOC101927854,THRB"
16,63169289,16.908,
14,23511047,16.8293,"ACIN1,AJUBA,C14orf119,C14orf93,CDH24,CEBPE,HAUS4,LMLN2,LOC101926933,MIR4707,PSMB11,PSMB5,SLC7A8"
2,24654215,16.812,"ITSN2,NCOA1"
7,157132342,16.8057,"DNAJB6,UBE3C"
1,81130780,16.7143,LINC01781
12,120856874,16.7038,"COQ5,COX6A1,DYNLL1,GATC,MSI1,NRAV,PLA2G1B,SRSF9,TRIAP1"
9,127909069,16.6481,"HSPA5,LOC105376271,PPP6C,RABEPK,SCAI"
7,131853816,16.6348,"LOC101928807,PLXNA4"
17,80928674,16.5981,"B3GNTL1,TBCD"
3,24885336,16.5431,RARB
3,69369296,16.5178,FRMD4B
8,11663173,16.4462,"C8orf49,CTSB,FDFT1,GATA4,NEIL2"
10,96132106,16.3721,"NOC3L,PLCE1,PLCE1-AS1,TBC1D12"
14,61477507,16.3601,"MNAT1,SLC38A6,TRMT5"
9,136390116,16.3146,"ADAMTS13,ADAMTSL2,CACFD1,FAM163B,MYMK,SLC2A6"
21,44524006,16.3117,"CBS,CBSL,CRYAA,CRYAA2,FRGCA,LOC106780825,PKNOX1,U2AF1,U2AF1L5"
12,48145171,16.2411,"ENDOU,HDAC7,RAPGEF3,RPAP3,SLC48A1,VDR"
11,130089231,16.186,"APLP2,LOC646383,ST14,ZBTB44"
8,129009401,16.08,"MIR1205,MIR1206,MIR1207,PVT1,TMEM75"
8,119430347,16.0635,SAMD12
12,114760656,16.0403,"LINC02459,TBX5,TBX5-AS1"
1,11642386,15.992,"DISP3,FBXO2,FBXO44,FBXO6,LINC01647,MAD2L2"
2,28669749,15.9167,"FLJ31356,FOSL2,PLB1"
15,37315018,15.9107,"MEIS2,MIR8063"
8,5495711,15.9041,
14,70650225,15.8456,"ADAM21P1,LOC646548,SLC8A3"
6,156917322,15.8437,
6,65467612,15.8369,EYS
1,80838880,15.8369,
1,170662120,15.7613,PRRX1
8,142299511,15.7466,"DENND3,GPR20,LINC01300,LOC105375787,SLC45A4"
11,11959136,15.7466,"DKK3,LINC02547,USP47"
6,106381668,15.7429,
7,33001824,15.7131,"FKBP9,KBTBD2,NT5C3A,RP9P"
7,32984247,15.7044,"FKBP9,KBTBD2,NT5C3A,RP9P"
16,75202935,15.7037,"BCAR1,CTRB1,CTRB2,LDHD,LOC100506281,ZFP1,ZNRF1"
3,117376407,15.6929,LINC02024
10,79711325,15.6881,"DLG5,DLG5-AS1,POLR3A,RPS24"
15,66395428,15.6742,"MEGF11,MIR4311"
4,102476921,15.6549,
3,69712957,15.6522,MITF
16,80237041,15.6041,LOC102724084
16,23367580,15.6002,"COG7,SCNN1B"
5,75785818,15.597,IQGAP2
16,20414772,15.5914,"ACSM2A,ACSM5,GP2,PDILT,UMOD"
3,66451821,15.5208,"LRIG1,SLC25A26"
12,30976136,15.5195,"CAPRIN2,LINC00941,LOC645485"
5,135462564,15.4981,"SMAD5,SMAD5-AS1,SMIM32,TGFBI,TRPC7,TRPC7-AS2,VTRNA2-1"
15,34026710,15.4806,RYR3
3,26558520,15.4538,
4,31286598,15.4521,LINC02497
3,117750008,15.4422,
16,26584816,15.4397,
15,56888770,15.4252,ZNF280D
16,11297562,15.4149,"CLEC16A,PRM1,PRM2,PRM3,SOCS1,TNP2"
3,167915921,15.382,EGFEM1P
7,132017849,15.3642,"LOC101928807,PLXNA4"
16,75191471,15.3423,"BCAR1,CTRB1,CTRB2,LDHD,LOC100506281,ZFP1,ZNRF1"
6,53355211,15.3328,"GCLC,LOC101927136"
19,40411407,15.3129,"DYRK1B,FBL,FCGBP,MIR6719,PSMC4,ZNF546"
16,10998482,15.3103,"CIITA,CLEC16A,DEXI,TVP23A"
8,142608216,15.2935,MROH5
12,75970451,15.2934,"GLIPR1,KRR1"
2,170130080,15.2813,LRP2
3,70202293,15.271,MDFIC2
22,37824369,15.2624,"CARD10,ELFN2,LOC100506271,MFNG"
6,53100677,15.2515,"ELOVL5,GCM1,MIR5685,RPS16P5"
1,89815198,15.2512,"GBP1P1,GBP5,GBP6,LOC729930"
20,259969,15.2435,"C20orf96,DEFB128,DEFB129,DEFB132,NRSN2,NRSN2-AS1,SOX12,ZCCHC3"
1,34764974,15.2289,C1orf94
14,49625519,15.2156,
2,112007075,15.1878,"BCL2L11,MIR4435-1,MIR4435-2,MIR4435-2HG"
1,79495100,15.1617,ADGRL4
13,39980168,15.1563,LHFPL6
8,24865502,15.1488,"MIR6841,NEFL,NEFM"
18,48382736,15.1476,"ME2,MRO"
10,53795073,15.1229,PRKG1
11,8571177,15.1099,"STK33,TRIM66"
8,9819536,15.0989,"LINC00599,MIR124-1,MSRA"
12,45483229,15.0986,"DBX2,PLEKHA8P1,RACGAP1P,RNY5"
2,170997993,15.0943,"MYO3B,UBR3"
16,28561581,15.073,"APOBR,CLN3,IL27,NPIPB8,NUPR1,SGF29,SULT1A1,SULT1A2"
7,4652209,15.0658,FOXK1
5,160322250,15.0638,"ATP10B,LINC02159"
14,35486330,15.0587,"FAM177A1,IGBP1P1,LOC101927178,PPP2R3C,SRP54,SRP54-AS1"
13,71297213,15.0587,
3,140480235,15.0443,TRIM42
12,3243764,15.0443,"TEAD4,TSPAN9"
10,69900977,15.0421,"ATOH7,HERC4,MYPN"
7,8335220,15.0321,"ICA1,LOC100505938"
2,111992490,14.9972,"BCL2L11,MIR4435-1,MIR4435-2,MIR4435-2HG"
1,6572861,14.9849,"ESPN,HES2,KLHL21,MIR4252,NOL9,PLEKHG5,TAS1R1,TNFRSF25,ZBTB48"
10,33465037,14.9615,NRP1
12,76295681,14.9423,
6,36269166,14.9353,"BRPF3,C6orf222,ETV7,PNPLA1,PXT1"
3,68552320,14.911,"FAM19A1,LOC105377146"
3,121351750,14.8859,"ARGFX,FBXO40,GOLGB1,HCLS1,POLQ"
1,101690551,14.8854,"LINC01307,LOC101928370,S1PR1"
3,66718975,14.8421,LOC105377143
14,61324754,14.8421,MNAT1
10,134070720,14.842,"DPYSL4,JAKMIP3,LRRC27,STK32C"
22,41637119,14.8408,"CHADL,EP300,EP300-AS1,L3MBTL2,LOC100506544,MIR6889,RANGAP1,ZC3H7B"
15,46619133,14.8373,
3,70657513,14.7829,
3,69407753,14.7714,FRMD4B
6,10387379,14.752,"LINC00518,MIR5689,MIR5689HG,TFAP2A,TFAP2A-AS1,TFAP2A-AS2"
11,43210530,14.7262,HNRNPKP3
16,85788388,14.7133,"C16orf74,COX4I1,EMC8,GINS2,GSE1,LOC101928557,MIR1910"
11,118459269,14.6942,"ARCN1,IFT46,KMT2A,LOC101929089,MIR6716,PHLDB1,TMEM25,TREH,TTC36"
8,57665019,14.6164,
5,79086316,14.6114,CMYA5
10,101337190,14.5887,"ENTPD7,LINC01475,NKX2-3,SLC25A28"
6,154465648,14.5801,"IPCEF1,OPRM1"
19,56453938,14.568,"NLRP13,NLRP4,NLRP5,NLRP8"
22,44809998,14.5569,"LINC01656,RTL6"
15,33163719,14.5327,FMN1
13,65175493,14.5237,
16,25786611,14.5089,HS3ST4
3,10527471,14.4737,"ATP2B2,MIR885"
15,51679783,14.4676,"CYP19A1,DMXL2,GLDN,MIR4713HG,MIR7973-1,MIR7973-2"
12,108852590,14.4643,"FICD,LINC01498,SART3"
10,24564859,14.4301,"KIAA1217,MIR603"
2,42608534,14.4262,"COX7A2L,EML4,KCNG3"
3,187681712,14.425,LINC01991
3,100812126,14.4181,ABI3BP
1,167217843,14.3963,"LINC01363,POU2F1"
21,15279270,14.3919,"ANKRD20A11P,CYP4F29P,LOC110091776"
11,43177989,14.3815,
7,94603,14.3688,"FAM20C,LOC100507642,LOC102723672,LOC105375115"
1,161685591,14.3599,"ATF6,DUSP12,FCGR2B,FCGR3B,FCRLA,FCRLB,RPL31P11"
5,76543805,14.3568,"PDE8B,ZBED3-AS1"
2,153386258,14.3447,FMNL2
1,111924907,14.3399,"ATP5PB,C1orf162,CHIA,CHIAP2,OVGP1,PGCP1,PIFO,WDR77"
22,41436975,14.3396,"EP300,MIR1281,RBX1,SNORD140"
4,118513954,14.3323,LINC01378
7,34190431,14.3304,BMPER
13,97593569,14.3214,"LINC00359,OXGR1"
5,40629687,14.3148,"PTGER4,TTC33"
21,39837386,14.2955,ERG
10,26992412,14.2879,"ABI1,FAM238B,PDSS1"
15,50711901,14.2813,"GABPB1,GABPB1-AS1,GABPB1-IT1,MIR4712,USP50,USP8"
4,100300816,14.2661,"ADH1A,ADH1B,ADH1C,ADH7,LOC100507053"
19,32816689,14.2628,"DPY19L3,LOC400684,ZNF507"
5,112906466,14.2621,"MCC,YTHDC2"
3,21057399,14.2554,
10,53808482,14.2486,PRKG1
12,110279866,14.2461,"FAM222A,FAM222A-AS1,GIT2,GLTP,MIR4497,TCHP,TRPV4"
19,32465584,14.2283,LINC01533
19,17630956,14.2184,"COLGALT1,FAM129C,LOC100507551,MVB12A,NXNL1,PGLS,SLC27A1,TMEM221,UNC13A"
11,69594980,14.2177,"FGF19,FGF3,FGF4"
17,81015295,14.2074,"B3GNTL1,METRNL"
14,70574585,14.2059,"LOC646548,SLC8A3,SMOC1"
9,140756398,14.1972,"CACNA1B,EHMT1,LOC100133077,LOC105376331,LOC651337,MIR602"
10,134612175,14.1645,"CFAP46,INPP5A,NKX6-2"
1,245297324,14.146,"EFCAB2,KIF26B,KIF26B-AS1"
5,155867152,14.1439,SGCD
10,45734317,14.1278,"ANKRD30BP3,MIR3156-1,OR13A1,RSU1P2"
4,90166778,14.1224,GPRIN3
17,30610542,14.1221,"C17orf75,MIR632,RHBDL3,RHOT1,ZNF207"
10,45448818,14.115,"C10orf25,DEPP1,RASSF4,TMEM72,TMEM72-AS1,ZNF22"
5,75913305,14.0961,"F2R,F2RL2,IQGAP2,LOC101929109,NCRUPAR"
15,60154009,14.0827,
16,13334971,14.0719,SHISA9
20,6866045,14.0577,
9,35107765,14.0515,"C9orf131,FAM214B,FANCG,PIGO,STOML2,UNC13B,VCP"
21,44031933,14.0442,"LINC01671,PDE9A,SLC37A1"
4,5165055,14.0409,STK32B
12,111719060,14.0409,"CUX2,MIR6760,PHETA1"
19,32780296,14.0043,ZNF507
2,41976649,13.9996,
2,43046262,13.9778,"HAAO,MTA3,OXER1"
11,23533467,13.9715,MIR8054
5,162746066,13.9609,
16,58125839,13.9527,"CFAP20,CSNK2A2,MMP15,USB1,ZNF319"
5,40804623,13.9109,"CARD6,LOC100506548,PRKAA1,RPL37,SNORD72,TTC33"
5,153911912,13.9109,"HAND1,MIR3141,SAP30L,SAP30L-AS1"
16,63397640,13.9021,
21,21724015,13.9008,LINC02573
21,47560946,13.8873,"COL6A2,FTCD,FTCD-AS1,LSS,MCM3AP,MCM3AP-AS1,SNORD159,SPATC1L"
18,35075477,13.8864,"CELF4,SNORA111"
15,45096539,13.8595,"B2M,LOC100419583,SORD2P,TRIM69"
15,50007437,13.8358,"DTWD1,FAM227B"
19,50770814,13.8295,"KCNC3,MYH14,NAPSA,NAPSB"
20,53272441,13.816,DOK5
17,11770111,13.8153,DNAH9
12,29661735,13.8141,"OVCH1,OVCH1-AS1,TMTC1"
1,30890587,13.8132,
5,112789579,13.8086,"MCC,TSSK1B,YTHDC2"
6,157405372,13.7812,ARID1B
5,73306062,13.7769,ARHGEF28
9,35281298,13.7597,UNC13B
14,98497735,13.7587,LINC01550
19,40351331,13.7397,"DYRK1B,FBL,FCGBP,LEUTX,MIR6719"
18,22249592,13.727,"LINC01915,LOC105372028"
17,6307495,13.7059,"AIPL1,PIMREG,PITPNM3"
11,42995648,13.6925,
11,63329250,13.6895,"ATL3,HRASLS2,HRASLS5,LGALS12,PLA2G16,RARRES3"
4,166362729,13.6701,"CPE,MIR578,MSMO1"
5,14989965,13.6674,
8,134184165,13.6518,"CCN4,NDRG1,SLA,TG"
9,131489620,13.6476,"ENDOG,LOC100506100,MIR1268A,PKN3,SET,SPOUT1,SPTAN1,TBC1D13,WDR34,ZDHHC12,ZER1"
11,15966681,13.6455,"MIR6073,SOX6"
2,79634971,13.6299,LOC101927987
7,32399469,13.624,"LOC100130673,PDE1C"
4,156029149,13.6097,
2,8099581,13.6097,"LINC00298,LINC00299,LOC101929551"
1,76018649,13.6093,SLC44A5
2,26739247,13.6058,"C2orf70,CIB4,DRC1,OTOF"
12,75618935,13.5953,"CAPS2,KCNC2,LOC100130268"
3,73873823,13.5896,LINC02005
2,153405621,13.5851,FMNL2
3,70429489,13.5844,MDFIC2
3,192605629,13.5829,MB21D2
10,98905223,13.5828,"ARHGAP19,ARHGAP19-SLIT1,SLIT1,SLIT1-AS1"
17,37273402,13.5656,"ARL5C,CACNB1,LINC02079,LRRC37A11P,PLXDC1,RDM1P5,RPL19,STAC2"
8,142447756,13.5619,"GPR20,LINC01300,MROH5,PTP4A3"
19,34137688,13.5608,CHST8
6,156751995,13.558,SNORD28B
2,221689038,13.558,
10,21057847,13.5473,NEBL
12,11906034,13.5256,ETV6
13,24686077,13.5206,"MIR2276,SPATA13"
19,19868623,13.5173,"ATP13A1,LINC00663,ZNF101,ZNF14,ZNF506,ZNF56"
7,133749550,13.5172,"EXOC4,LRGUK"
8,26306214,13.5152,"BNIP3L,DPYSL2,PNMA2,PPP2R2A,SDAD1P1"
1,84717820,13.512,"PRKACB,SAMD13"
3,87659612,13.5114,
15,66161723,13.511,"DENND4A,MEGF11,RAB11A"
20,39537831,13.4731,LOC100128988
14,35378740,13.4731,"BAZ1A,IGBP1P1,SRP54,SRP54-AS1"
3,18606404,13.4564,SATB1-AS1
8,9166532,13.4524,LOC157273
7,46702781,13.4483,LOC730338
12,31006102,13.4394,"CAPRIN2,LINC00941,LOC645485,TSPAN11"
7,38750986,13.4354,"AMPH,FAM183BP,VPS41"
1,14220186,13.4288,PRDM2
11,69662479,13.4248,"FGF3,FGF4"
12,75572814,13.4148,"CAPS2,KCNC2,LOC100130268"
22,50730320,13.3781,"DENND6B,HDAC10,MAPK11,MAPK12,PLXNB2,PPP6R2,SELENOO,TRABD,TUBGCP6"
16,79979968,13.375,
13,64926875,13.3669,
3,23117385,13.3548,
17,931002,13.3493,"ABR,MIR3183,NXN,TIMM22"
12,49530022,13.339,"DHH,KMT2D,LMBR1L,RHEBL1,TUBA1A,TUBA1B,TUBA1C"
3,168202444,13.3253,"EGFEM1P,MIR551B"
2,56261725,13.3195,"LINC01813,MIR216A,MIR216B,MIR217,MIR217HG"
2,134577255,13.3178,
22,49663040,13.3173,
6,19814369,13.3144,"ID4,LOC100506885"
14,36462503,13.3144,LINC00609
1,75278010,13.3048,"CRYZ,TYW3"
11,109317548,13.2843,C11orf87
12,7311976,13.2821,"C1R,C1RL,C1RL-AS1,CLSTN3,PEX5,RBP5"
5,154038360,13.2675,"LARP1,MIR1303,MIR3141"
1,28461661,13.2602,"DNAJC8,EYA3,PTAFR"
9,27174955,13.2562,"LINC00032,TEK"
2,169991103,13.2561,"DHRS9,LRP2"
2,42599982,13.2548,"COX7A2L,EML4,KCNG3"
10,16396872,13.2379,PTER
8,36012253,13.2075,
17,14356742,13.2068,
16,20062508,13.206,GPR139
4,72670093,13.1848,GC
9,4959331,13.1818,"JAK2,RCL1"
6,120247231,13.1686,"LOC105377975,MIR3144"
11,126288762,13.1634,"DCPS,GSEC,KIRREL3,ST3GAL4"
20,8588762,13.1605,PLCB1
10,70946082,13.1562,"HK1,HKDC1,LOC101928994,SRGN,SUPV3L1,VPS26A"
16,72914405,13.1497,ZFHX3
8,118308082,13.136,
4,37559939,13.1099,"C4orf19,RELL1"
6,110736610,13.0998,"DDO,METTL24,SLC22A16"
17,72319471,13.0998,"BTBD17,DNAI2,GPR142,KIF19,TTYH2"
4,68749047,13.085,"TMPRSS11A,TMPRSS11D"
1,195921650,13.0763,LINC01724
2,34313801,13.0606,"LINC01317,LINC01318"
2,111750992,13.0533,ACOXL
12,115591985,13.0524,
12,48224721,13.0393,"HDAC7,RAPGEF3,SLC48A1,VDR"
1,60564479,13.0368,C1orf87
9,93627484,13.0349,SYK
3,72001105,13.0264,LINC00877
20,52627481,13.0236,"BCAS1,MIR4756"
9,26538805,13.0111,
1,150498002,13.0102,"ADAMTSL4,ADAMTSL4-AS1,ECM1,ENSA,FALEC,MCL1,MIR4257,MIR6878,RPRD2,TARS2"
7,50249013,13.0053,"IKZF1,SPATA48"
4,84259301,13.0053,"COQ2,HELQ,HPSE"
14,58450748,13.0027,ARMH4
16,62326911,12.99,
17,14409223,12.9894,
8,17056529,12.9874,"CNOT7,MICU3,MTMR7,VPS37A,ZDHHC2"
16,23865164,12.9868,"CHP2,PRKCB"
2,151891393,12.9819,
4,82645980,12.9517,
12,98592566,12.9419,
14,24649669,12.9413,"CHMP4A,DCAF11,EMC9,FITM1,GMPR2,IPO4,IRF9,MDP1,MIR7703,NEDD8,NEDD8-MDP1,NRL,PCK2,PSME1,PSME2,RABGGTA,REC8,RNF31,TGM1,TINF2,TM9SF1,TSSK4"
8,73997216,12.9284,"SBSPON,TERF1"
4,172837311,12.9235,GALNTL6
8,134224878,12.9062,"CCN4,NDRG1,TG"
13,69449801,12.89,LINC00550
5,90769619,12.8866,"ARRDC3,ARRDC3-AS1"
5,172764327,12.8778,"MIR8056,STC2"
4,189100229,12.8619,"TRIML1,TRIML2"
20,42759354,12.8543,"JPH2,OSER1,OSER1-DT,TOX2"
19,33402100,12.8527,"CEP89,FAAP24,RHPN2,SLC7A9,TDRD12"
5,156670916,12.8413,"CYFIP2,FAM71B,FNDC9,ITK"
8,101482545,12.8305,"ANKRD46,MIR4471"
14,60848224,12.8247,"C14orf39,LINC02322,PPM1A"
5,11020918,12.8228,CTNND2
3,101652887,12.8228,"LINC02085,NFKBIZ"
15,70123826,12.8226,LINC00593
3,21997844,12.805,ZNF385D-AS2
6,158497717,12.8033,"GTF2H5,SERAC1,SYNJ2,SYNJ2-IT1"
20,52289052,12.8033,"LOC101927770,LOC105372672,ZNF217"
9,131290327,12.7993,"CERCAM,GLE1,MIR1268A,ODF2,SPTAN1"
2,103307774,12.7786,"MFSD9,SLC9A2,TMEM182"
8,25583081,12.7745,
7,17691608,12.7739,LOC101927630
3,59689809,12.7517,"FHIT,LOC339902"
3,123134244,12.751,"ADCY5,HACD2"
3,122150284,12.7408,"CCDC58,CSTA,FAM162A,KPNA1,LOC102723582,PARP9,WDR5B"
3,10675684,12.7302,"ATP2B2,ATP2B2-IT2"
11,68804451,12.7295,"IGHMBP2,MIR3164,MRGPRD,MRGPRF,MRGPRF-AS1,TPCN2"
10,23371855,12.7281,"ARMC3,MSRB2"
11,118852137,12.7274,"BCL9L,CCDC84,CXCR5,FOXR1,HYOU1,MIR4492,RPL23AP64,RPS25,SLC37A4,TRAPPC4,UPK2,VPS11"
3,182906649,12.7127,"B3GNT5,LAMP3,MCCC1,MCF2L2"
12,115179321,12.7116,TBX3
1,184162732,12.7094,TSEN15
9,34953336,12.7034,"C9orf131,DNAJB5,DNAJB5-DT,FAM205C,PHF24"
12,47607017,12.6936,"LOC105369747,MIR4698,PCED1B,PCED1B-AS1"
3,139510682,12.6853,
4,155541289,12.6617,"FGA,FGB,FGG,PLRG1"
22,49567545,12.6541,
3,24765690,12.6529,
1,112012037,12.6454,"ADORA3,ATP5PB,C1orf162,OVGP1,PGCP1,TMIGD3,WDR77"
20,16026239,12.6452,"LOC613266,MACROD2"
6,108428759,12.6279,"NR2E1,OSTM1,OSTM1-AS1"
8,2474928,12.6215,LOC101927815
9,27214887,12.6173,"EQTN,LINC00032,TEK"
20,31911340,12.6127,"BPIFA1,BPIFA3,BPIFB1,CDK5RAP1,SNTA1"
12,114035983,12.5952,
16,84871849,12.5951,"CRISPLD2,USP10"
3,68910464,12.5942,FAM19A4
3,26335191,12.5907,
6,9481801,12.5884,
5,2487170,12.5879,
15,27982890,12.567,OCA2
10,27596229,12.5563,"ACBD5,ARMC4P1,LRRC37A6P,PTCHD3"
3,22000547,12.5532,ZNF385D-AS2
12,29342235,12.5532,"FAR2,LOC100506606"
12,122638006,12.5527,"B3GNT4,DIABLO,IL31,LOC101593348,LRRC43,MLXIP,VPS33A"
10,96658200,12.5493,"CYP2C19,CYP2C9"
15,61349220,12.547,RORA
18,20716805,12.5462,CABLES1
3,87561451,12.5353,
1,75641544,12.5346,"LHX8,SLC44A5"
5,3089692,12.5336,LINC01377
8,74000257,12.5279,"SBSPON,TERF1"
3,121435624,12.5162,"FBXO40,GOLGB1,HCLS1,IQCB1"
17,36621445,12.5108,"ARHGAP23,SOCS7,SRCIN1"
11,130257002,12.5103,"ADAMTS15,ADAMTS8,LOC646383,ZBTB44"
6,17755963,12.5087,"KIF13A,LOC105374952,NUP153"
10,79186259,12.5072,"KCNMA1,KCNMA1-AS3"
5,160712849,12.4813,GABRB2
12,99261495,12.4722,ANKS1B
10,20753989,12.4705,MIR4675
1,80710753,12.469,
2,180665865,12.4598,"MIR1258,ZNF385B"
1,16502256,12.4459,"ARHGEF19,CPLANE2,EPHA2,FBXO42"
4,32616774,12.4394,
1,6144735,12.4394,"CHD5,KCNAB2,NPHP4"
10,32451860,12.439,
20,8629843,12.4298,PLCB1
3,59894061,12.4151,FHIT
5,141824669,12.4041,SPRY4-AS1
10,73281364,12.3865,"CDH23,CDH23-AS1"
6,110826927,12.3861,"DDO,SLC22A16"
13,97040313,12.3861,"HS6ST3,MIR4501"
11,109573244,12.3861,
11,96654866,12.3854,
3,69834454,12.3824,MITF
7,101015718,12.3791,"COL26A1,IFT22,LNCPRESS1,LOC101927746"
20,44733811,12.3791,"CD40,CDH22,MMP9,NCOA5,SLC12A5,SLC12A5-AS1"
16,74088473,12.3781,
6,152880321,12.3771,SYNE1
13,40052731,12.3752,LHFPL6
12,30034792,12.374,TMTC1
2,163559175,12.362,"KCNH7,LOC101929570"
15,80707588,12.3535,"ARNT2,LINC00927"
5,161696396,12.3407,
11,106493741,12.339,GUCY1A2
4,73677391,12.3376,
1,75999964,12.3366,SLC44A5
7,13777635,12.3247,
7,100525146,12.3205,"ACHE,MIR6875,MUC12,MUC3A,SLC12A9,SLC12A9-AS1,SRRT,TRIP6,UFSP1"
5,153789078,12.3205,"GALNT10,HAND1,MIR1294,SAP30L,SAP30L-AS1"
14,96657459,12.3205,"ATG2B,BDKRB1,BDKRB2,C14orf132"
2,163600518,12.3185,"KCNH7,LOC101929570"
1,199543632,12.311,
10,20152770,12.294,PLXDC2
14,61677956,12.2932,TMEM30B
2,162688627,12.2893,SLC4A10
12,115253197,12.2881,
6,10093595,12.2765,
2,164288638,12.276,
1,81755786,12.2748,ADGRL2
6,109045197,12.2747,"FOXO3,LINC00222"
7,111762557,12.2743,"DOCK4,ZNF277"
5,113145868,12.2691,
1,201210045,12.2606,"IGFN1,PKP1,TMEM9"
13,76283474,12.2601,"LMO7,LMO7-AS1"
8,4493300,12.2465,CSMD1
12,30756365,12.2438,IPO8
1,42019006,12.2396,"EDN2,HIVEP3"
5,78020166,12.2191,"ARSB,LHFPL2"
12,3178183,12.2098,"TEAD4,TSPAN9"
19,33890838,12.2094,"CEBPA,CEBPA-DT,CEBPG,PEPD"
16,31357810,12.2016,"COX6A2,ITGAD,ITGAM,ITGAX,ZNF843"
2,33059096,12.2006,"LINC00486,TTC27"
5,138553691,12.195,"MATR3,SIL1,SNHG4,SNORA74A,SNORA74D"
11,68128293,12.1942,"C11orf24,LRP5,PPP6R3"
10,130418402,12.1927,
12,114590687,12.1767,LINC02459
3,78277273,12.1627,
6,19790387,12.1534,"ID4,LOC100506885"
16,58206826,12.1534,"CCDC113,CFAP20,CSNK2A2"
1,43112913,12.1475,"CCDC30,CLDN19,P3H1,PPIH,YBX1"
8,57445182,12.1447,"LINC00968,LOC101929415,PENK"
3,121663711,12.1281,"EAF2,ILDR1,SLC15A2"
